city	code	votes_r1	votes_r2	le_pen_r2	macron_r2	le_pen_r1	macron_r1	melenchon_r1	zemmour_r1	pecresse_r1	roussel_r1	jadot_r1	lassalle_r1	dupont-aignan_r1	hidalgo_r1	poutou_r1	arthaud_r1
Montay	59412	160	147	0.7	0.3	0.47	0.18	0.12	0.05	0.03	0.04	0.01	0.05	0.01	0.02	0.01	0.02
Montigny-en-Cambrésis	59413	345	340	0.61	0.39	0.39	0.23	0.09	0.08	0.06	0.02	0.01	0.05	0.03	0.01	0.02	0.01
Montigny-en-Ostrevent	59414	2430	2283	0.63	0.37	0.4	0.2	0.21	0.05	0.01	0.04	0.02	0.01	0.02	0.01	0.01	0.01
Montrécourt	59415	148	142	0.6	0.4	0.39	0.26	0.14	0.04	0.04	0.04	0.01	0.03	0	0.01	0.02	0.01
Morbecque	59416	1605	1526	0.5	0.5	0.31	0.28	0.14	0.06	0.04	0.03	0.04	0.03	0.03	0.01	0.01	0.01
Mortagne-du-Nord	59418	712	678	0.65	0.35	0.4	0.16	0.15	0.04	0.01	0.17	0.03	0.01	0.01	0.01	0	0
Mouchin	59419	843	800	0.38	0.62	0.25	0.35	0.1	0.06	0.06	0.05	0.06	0.02	0.02	0.02	0.01	0.01
Moustier-en-Fagne	59420	30	28	0.43	0.57	0.17	0.23	0.3	0.03	0.07	0	0.1	0.03	0.03	0.03	0	0
Mouvaux	59421	7748	7479	0.26	0.74	0.15	0.44	0.12	0.08	0.08	0.01	0.06	0.02	0.02	0.01	0	0
Mérignies	59398	2188	2151	0.28	0.72	0.18	0.48	0.1	0.09	0.06	0.01	0.04	0.01	0.01	0.01	0	0
Méteren	59401	1342	1316	0.43	0.57	0.28	0.35	0.12	0.05	0.04	0.03	0.04	0.04	0.02	0.01	0.01	0.01
Naves	59422	398	381	0.62	0.38	0.37	0.21	0.12	0.1	0.05	0.03	0.04	0.04	0	0.03	0.01	0
Neuf-Berquin	59423	816	762	0.59	0.41	0.38	0.23	0.16	0.06	0.02	0.04	0.02	0.02	0.03	0.02	0.01	0.01
Neuf-Mesnil	59424	637	578	0.67	0.33	0.46	0.16	0.2	0.05	0.03	0.02	0.01	0.01	0.02	0.01	0.01	0.01
Neuville-Saint-Rémy	59428	1950	1892	0.61	0.39	0.41	0.24	0.15	0.06	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01
Neuville-en-Avesnois	59425	173	178	0.44	0.56	0.3	0.24	0.22	0.06	0.02	0.02	0.08	0.03	0.01	0.02	0	0.01
Neuville-en-Ferrain	59426	5877	5728	0.42	0.58	0.27	0.34	0.14	0.08	0.04	0.02	0.04	0.02	0.02	0.02	0	0
Neuville-sur-Escaut	59429	1404	1297	0.71	0.29	0.46	0.16	0.15	0.05	0.01	0.12	0.01	0.02	0.01	0.01	0	0
Neuvilly	59430	568	544	0.74	0.26	0.5	0.15	0.13	0.06	0.06	0.02	0.01	0.02	0.02	0.01	0.01	0.01
Nieppe	59431	4379	4294	0.48	0.52	0.3	0.3	0.16	0.06	0.04	0.03	0.04	0.02	0.02	0.01	0.01	0.01
Niergnies	59432	345	331	0.52	0.48	0.27	0.32	0.12	0.09	0.07	0.02	0.03	0.01	0.02	0.02	0.01	0.01
Nieurlet	59433	559	550	0.66	0.34	0.43	0.19	0.12	0.07	0.05	0.03	0.01	0.03	0.04	0.02	0	0.01
Nivelle	59434	873	828	0.52	0.48	0.3	0.25	0.11	0.07	0.02	0.15	0.04	0.02	0.02	0.02	0	0
Nomain	59435	1618	1540	0.37	0.63	0.21	0.37	0.14	0.08	0.06	0.03	0.04	0.02	0.02	0.01	0.01	0
Noordpeene	59436	495	469	0.53	0.47	0.34	0.24	0.18	0.04	0.05	0.02	0.05	0.03	0.02	0.01	0.01	0
Noyelles-lès-Seclin	59437	544	519	0.3	0.7	0.17	0.38	0.18	0.06	0.05	0.04	0.06	0.02	0.01	0.02	0	0.01
Noyelles-sur-Escaut	59438	493	473	0.6	0.4	0.4	0.24	0.13	0.08	0.02	0.03	0.03	0.01	0.03	0.01	0	0.01
Noyelles-sur-Sambre	59439	177	167	0.51	0.49	0.34	0.27	0.18	0.03	0.05	0.03	0.02	0.03	0.03	0.01	0.01	0
Noyelles-sur-Selle	59440	391	374	0.62	0.38	0.47	0.16	0.13	0.06	0.07	0.05	0.01	0.01	0.01	0.02	0.01	0
Obies	59441	394	388	0.51	0.49	0.31	0.33	0.11	0.08	0.05	0.03	0.03	0.02	0.03	0.01	0.01	0.01
Obrechies	59442	196	191	0.59	0.41	0.42	0.27	0.11	0.07	0.02	0.03	0.01	0.03	0.03	0.02	0.01	0.01
Ochtezeele	59443	206	212	0.58	0.42	0.33	0.28	0.04	0.11	0.08	0.02	0.05	0.04	0.02	0.01	0.01	0.01
Odomez	59444	456	425	0.61	0.39	0.36	0.18	0.17	0.09	0.03	0.07	0.03	0.01	0.02	0.01	0.01	0.01
Ohain	59445	622	598	0.66	0.34	0.46	0.19	0.16	0.05	0.03	0.03	0.02	0.03	0.01	0.01	0	0.01
Oisy	59446	370	351	0.47	0.53	0.34	0.26	0.14	0.06	0.03	0.05	0.04	0.01	0.02	0.02	0	0.01
Onnaing	59447	4096	3856	0.63	0.37	0.4	0.18	0.19	0.06	0.02	0.09	0.01	0.02	0.01	0.01	0	0.01
Oost-Cappel	59448	258	266	0.61	0.39	0.41	0.23	0.12	0.05	0.02	0.01	0.02	0.05	0.05	0	0.02	0.01
Orchies	59449	4863	4572	0.51	0.49	0.33	0.26	0.17	0.06	0.03	0.05	0.04	0.02	0.02	0.02	0.01	0.01
Ors	59450	389	369	0.65	0.35	0.37	0.19	0.18	0.09	0.03	0.05	0.01	0.06	0.01	0.01	0	0.01
Orsinval	59451	374	367	0.47	0.53	0.28	0.29	0.14	0.06	0.05	0.05	0.05	0.02	0.04	0.01	0.01	0
Ostricourt	59452	2760	2532	0.54	0.46	0.34	0.17	0.31	0.06	0.02	0.02	0.03	0.02	0.01	0.02	0.01	0.01
Oudezeele	59453	417	409	0.5	0.5	0.33	0.27	0.14	0.05	0.05	0.01	0.06	0.02	0.02	0.02	0.01	0.01
Oxelaëre	59454	313	300	0.44	0.56	0.25	0.34	0.12	0.07	0.1	0.01	0.02	0.03	0.02	0.02	0.02	0
Paillencourt	59455	603	602	0.61	0.39	0.39	0.25	0.13	0.09	0.03	0.01	0.03	0.02	0.02	0.01	0	0.01
Pecquencourt	59456	3029	2932	0.69	0.31	0.46	0.16	0.21	0.04	0.02	0.04	0.02	0.01	0.02	0.01	0.01	0.01
Petit-Fayt	59461	194	186	0.7	0.3	0.42	0.19	0.1	0.1	0.03	0.03	0.04	0.02	0.06	0	0.01	0.01
Petite-Forêt	59459	2850	2659	0.62	0.38	0.41	0.19	0.17	0.07	0.02	0.08	0.02	0.01	0.01	0.01	0	0
Phalempin	59462	3007	2828	0.36	0.64	0.22	0.36	0.17	0.06	0.06	0.02	0.05	0.02	0.02	0.01	0	0.01
Pitgam	59463	590	570	0.56	0.44	0.4	0.29	0.09	0.06	0.05	0.02	0.02	0.04	0.02	0.01	0	0
Poix-du-Nord	59464	1126	1129	0.68	0.32	0.5	0.19	0.13	0.05	0.02	0.04	0.02	0.01	0.01	0.01	0.01	0
Pommereuil	59465	404	400	0.73	0.27	0.52	0.19	0.1	0.06	0.01	0.03	0.01	0.02	0.03	0	0.01	0
Pont-sur-Sambre	59467	1239	1236	0.59	0.41	0.39	0.23	0.16	0.05	0.03	0.04	0.02	0.03	0.02	0.01	0.01	0.01
Pont-à-Marcq	59466	1751	1659	0.41	0.59	0.25	0.35	0.16	0.06	0.03	0.02	0.05	0.03	0.02	0.02	0	0.01
Potelle	59468	285	260	0.52	0.48	0.25	0.29	0.15	0.09	0.06	0.06	0.01	0.03	0.01	0.03	0.01	0.01
Pradelles	59469	261	278	0.54	0.46	0.34	0.33	0.14	0.04	0.04	0.01	0.03	0.02	0.04	0.02	0.01	0
Preux-au-Bois	59472	483	463	0.59	0.41	0.37	0.22	0.15	0.06	0.03	0.05	0.03	0.02	0.03	0.02	0.02	0.01
Preux-au-Sart	59473	175	162	0.51	0.49	0.31	0.29	0.13	0.06	0.07	0.01	0.04	0.03	0.03	0.01	0.01	0.01
Prisches	59474	589	552	0.6	0.4	0.37	0.21	0.15	0.07	0.06	0.03	0.02	0.02	0.03	0.01	0	0.01
Prouvy	59475	1278	1206	0.63	0.37	0.39	0.19	0.17	0.04	0.02	0.15	0.02	0.01	0.01	0.01	0	0
Proville	59476	1992	1921	0.49	0.51	0.33	0.3	0.12	0.08	0.06	0.03	0.03	0.02	0.01	0.01	0.01	0.01
Provin	59477	2389	2316	0.59	0.41	0.39	0.23	0.15	0.06	0.03	0.03	0.03	0.01	0.02	0.02	0.01	0.01
Prémesques	59470	1273	1252	0.34	0.66	0.21	0.37	0.14	0.07	0.05	0.03	0.06	0.02	0.02	0.01	0	0.01
Préseau	59471	1229	1180	0.51	0.49	0.3	0.28	0.13	0.09	0.04	0.07	0.03	0.02	0.02	0.01	0	0
Pérenchies	59457	4353	4223	0.43	0.57	0.28	0.3	0.19	0.06	0.03	0.03	0.05	0.02	0.02	0.01	0.01	0
Péronne-en-Mélantois	59458	634	605	0.35	0.65	0.21	0.36	0.13	0.09	0.06	0.03	0.06	0.03	0.03	0.02	0	0
Quarouble	59479	1680	1591	0.63	0.37	0.41	0.2	0.14	0.07	0.02	0.06	0.02	0.02	0.01	0.01	0.01	0.01
Quaëdypre	59478	699	690	0.52	0.48	0.32	0.3	0.1	0.09	0.06	0.02	0.03	0.03	0.02	0.01	0	0.01
Quesnoy-sur-Deûle	59482	3885	3778	0.4	0.6	0.25	0.36	0.15	0.06	0.04	0.03	0.05	0.02	0.02	0.01	0	0.01
Quiévelon	59483	81	84	0.64	0.36	0.35	0.31	0.06	0.14	0.07	0.01	0	0.02	0.04	0	0	0
Quiévrechain	59484	2401	2230	0.61	0.39	0.38	0.17	0.29	0.04	0.02	0.04	0.01	0.01	0.02	0.01	0.01	0.01
Quiévy	59485	990	969	0.71	0.29	0.5	0.2	0.13	0.05	0.02	0.03	0.01	0.03	0.02	0.01	0.01	0.01
Quérénaing	59480	526	484	0.5	0.5	0.29	0.29	0.13	0.07	0.03	0.07	0.04	0.03	0.02	0.02	0	0
Radinghem-en-Weppes	59487	995	969	0.31	0.69	0.17	0.44	0.1	0.11	0.06	0.02	0.05	0.02	0.01	0.01	0.01	0
Raillencourt-Sainte-Olle	59488	1333	1263	0.53	0.47	0.37	0.3	0.12	0.06	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Raimbeaucourt	59489	2233	2156	0.57	0.43	0.36	0.24	0.15	0.09	0.03	0.03	0.03	0.02	0.01	0.01	0.01	0.01
Rainsars	59490	131	117	0.6	0.4	0.45	0.18	0.1	0.08	0.08	0.02	0	0.02	0.02	0.02	0.02	0.02
Raismes	59491	6047	5664	0.66	0.34	0.4	0.15	0.19	0.05	0.01	0.16	0.01	0.01	0.01	0.01	0.01	0
Ramillies	59492	359	328	0.71	0.29	0.44	0.2	0.12	0.07	0.03	0.04	0.02	0.03	0.01	0.02	0.01	0.02
Ramousies	59493	127	131	0.56	0.44	0.46	0.25	0.13	0.06	0.02	0.04	0	0.02	0.02	0	0	0.02
Raucourt-au-Bois	59494	83	79	0.63	0.37	0.36	0.24	0.23	0.04	0.01	0	0.01	0.06	0.04	0	0.01	0
Recquignies	59495	1064	1024	0.75	0.25	0.48	0.15	0.17	0.07	0.02	0.05	0.01	0.02	0.02	0.01	0	0.01
Rejet-de-Beaulieu	59496	137	139	0.67	0.33	0.55	0.18	0.06	0.02	0.05	0.03	0.02	0.03	0.04	0	0.01	0
Renescure	59497	1318	1295	0.54	0.46	0.38	0.32	0.11	0.05	0.04	0.01	0.02	0.03	0.02	0.01	0.01	0.01
Reumont	59498	205	201	0.63	0.37	0.37	0.24	0.13	0.08	0.05	0.03	0.01	0.03	0.01	0	0.03	0.01
Rexpoëde	59499	1119	1083	0.57	0.43	0.36	0.26	0.15	0.04	0.04	0.03	0.02	0.03	0.02	0.01	0.01	0.01
Ribécourt-la-Tour	59500	232	239	0.6	0.4	0.39	0.27	0.13	0.07	0.06	0.02	0.01	0.02	0.01	0	0.02	0
Rieulay	59501	751	704	0.56	0.44	0.33	0.25	0.17	0.07	0.02	0.05	0.05	0.03	0.01	0.02	0	0.01
Rieux-en-Cambrésis	59502	802	743	0.67	0.33	0.4	0.16	0.17	0.06	0.04	0.07	0.03	0.02	0.02	0.02	0.01	0
Robersart	59503	119	111	0.58	0.42	0.38	0.19	0.08	0.1	0.03	0.05	0.04	0.06	0.05	0	0	0.01
Roeulx	59504	1919	1810	0.66	0.34	0.46	0.15	0.13	0.05	0.01	0.12	0.01	0.02	0.01	0.02	0.01	0.01
Rombies-et-Marchipont	59505	436	414	0.58	0.42	0.39	0.24	0.08	0.08	0.06	0.05	0.04	0.01	0.01	0.02	0.01	0
Romeries	59506	281	259	0.53	0.47	0.34	0.29	0.16	0.05	0.04	0.01	0.02	0.03	0.02	0.01	0	0.01
Ronchin	59507	8845	7945	0.34	0.66	0.2	0.27	0.31	0.04	0.03	0.03	0.05	0.02	0.01	0.02	0.01	0.01
Roncq	59508	7700	7475	0.38	0.62	0.23	0.36	0.15	0.08	0.05	0.03	0.05	0.02	0.02	0.01	0.01	0
Roost-Warendin	59509	3362	3184	0.62	0.38	0.42	0.2	0.19	0.06	0.02	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Rosult	59511	1227	1169	0.42	0.58	0.24	0.31	0.13	0.06	0.04	0.1	0.05	0.02	0.02	0.01	0.01	0.01
Roubaix	59512	27598	22831	0.3	0.7	0.15	0.2	0.52	0.03	0.02	0.01	0.03	0.01	0.01	0.01	0.01	0.01
Roucourt	59513	301	278	0.56	0.44	0.29	0.24	0.23	0.11	0.05	0.02	0.02	0.01	0.02	0	0	0
Rousies	59514	2107	2014	0.61	0.39	0.4	0.21	0.16	0.08	0.03	0.03	0.03	0.02	0.02	0.01	0	0.01
Rouvignies	59515	374	349	0.63	0.37	0.42	0.19	0.2	0.05	0.02	0.07	0.02	0.01	0.01	0.01	0	0.01
Rubrouck	59516	574	551	0.49	0.51	0.29	0.32	0.16	0.05	0.05	0.01	0.03	0.04	0.03	0.01	0	0.01
Ruesnes	59518	261	259	0.51	0.49	0.32	0.29	0.13	0.07	0.04	0.03	0.04	0.03	0.02	0.01	0	0
Rumegies	59519	1049	1018	0.51	0.49	0.32	0.29	0.13	0.06	0.03	0.1	0.03	0.01	0.01	0.01	0	0.01
Rumilly-en-Cambrésis	59520	852	821	0.54	0.46	0.36	0.25	0.18	0.06	0.02	0.06	0.03	0.02	0.01	0.01	0	0.01
Râches	59486	1452	1410	0.58	0.42	0.38	0.27	0.15	0.06	0.03	0.04	0.02	0.01	0.02	0.01	0.01	0.01
Sailly-lez-Cambrai	59521	227	226	0.56	0.44	0.33	0.28	0.13	0.07	0.04	0.05	0.01	0.03	0.03	0.01	0.01	0.01
Sailly-lez-Lannoy	59522	1266	1225	0.24	0.76	0.15	0.47	0.12	0.07	0.05	0.02	0.07	0.02	0.01	0.02	0.01	0
Sainghin-en-Mélantois	59523	1775	1717	0.28	0.72	0.17	0.41	0.14	0.06	0.07	0.01	0.07	0.02	0.02	0.02	0	0.01
Sainghin-en-Weppes	59524	3230	3139	0.45	0.55	0.29	0.31	0.16	0.05	0.03	0.03	0.05	0.02	0.02	0.02	0.01	0.01
Sains-du-Nord	59525	1347	1320	0.64	0.36	0.45	0.2	0.14	0.05	0.03	0.04	0.01	0.02	0.02	0.01	0.01	0
Saint-Amand-les-Eaux	59526	8569	7861	0.53	0.47	0.28	0.21	0.16	0.06	0.02	0.21	0.03	0.01	0.01	0.01	0	0
Saint-André-lez-Lille	59527	6329	6002	0.31	0.69	0.18	0.35	0.22	0.05	0.03	0.03	0.07	0.02	0.01	0.02	0.01	0.01
Saint-Aubert	59528	861	843	0.68	0.32	0.47	0.2	0.11	0.05	0.04	0.05	0.02	0.03	0.02	0.01	0.01	0.01
Saint-Aubin	59529	188	189	0.6	0.4	0.33	0.24	0.14	0.1	0.02	0.01	0.02	0.05	0.04	0.01	0.01	0.02
Saint-Aybert	59530	186	167	0.68	0.32	0.4	0.2	0.16	0.08	0.03	0.05	0.03	0.01	0.02	0.01	0.01	0
Saint-Benin	59531	181	177	0.67	0.33	0.37	0.21	0.17	0.1	0.05	0.03	0	0.01	0.03	0.01	0.01	0.01
Saint-Georges-sur-l'Aa	59532	193	190	0.62	0.38	0.35	0.25	0.16	0.03	0.02	0.01	0.05	0.07	0.02	0.03	0.03	0.01
Saint-Hilaire-lez-Cambrai	59533	878	862	0.68	0.32	0.46	0.19	0.14	0.05	0.04	0.04	0.03	0.02	0.01	0.01	0	0.01
Saint-Hilaire-sur-Helpe	59534	420	403	0.58	0.42	0.34	0.24	0.17	0.06	0.04	0.02	0.04	0.03	0.02	0.03	0.01	0.01
Saint-Jans-Cappel	59535	1052	1011	0.4	0.6	0.25	0.37	0.14	0.05	0.05	0.03	0.04	0.02	0.02	0.01	0.01	0.01
Saint-Martin-sur-Ecaillon	59537	317	289	0.43	0.57	0.26	0.27	0.17	0.06	0.04	0.07	0.06	0.03	0.01	0.01	0	0.02
Saint-Momelin	59538	232	231	0.66	0.34	0.42	0.19	0.19	0.06	0.03	0.03	0	0.03	0.02	0.01	0	0
Saint-Pierre-Brouck	59539	579	561	0.58	0.42	0.36	0.26	0.15	0.06	0.03	0.01	0.02	0.04	0.04	0.01	0.01	0.01
Saint-Python	59541	555	542	0.67	0.33	0.42	0.21	0.19	0.06	0.02	0.01	0.01	0.01	0.03	0.01	0.02	0.01
Saint-Remy-Chaussée	59542	257	256	0.66	0.34	0.43	0.17	0.13	0.07	0.04	0.06	0.02	0.02	0.04	0.02	0	0
Saint-Remy-du-Nord	59543	611	592	0.68	0.32	0.47	0.22	0.1	0.06	0.03	0.04	0.01	0.02	0.04	0.01	0	0.01
Saint-Saulve	59544	5772	5496	0.48	0.52	0.3	0.28	0.18	0.07	0.04	0.04	0.03	0.01	0.02	0.01	0	0.01
Saint-Souplet	59545	674	664	0.72	0.28	0.51	0.16	0.11	0.05	0.05	0.03	0.01	0.02	0.03	0.02	0	0
Saint-Sylvestre-Cappel	59546	772	749	0.51	0.49	0.33	0.3	0.11	0.07	0.05	0.03	0.04	0.03	0.02	0.01	0.01	0.01
Saint-Vaast-en-Cambrésis	59547	498	465	0.68	0.32	0.45	0.17	0.17	0.05	0.02	0.06	0.02	0.02	0.03	0.01	0	0
Saint-Waast	59548	396	378	0.6	0.4	0.35	0.23	0.17	0.11	0.03	0.03	0.01	0.04	0.02	0.01	0.01	0
Sainte-Marie-Cappel	59536	586	544	0.38	0.62	0.23	0.34	0.14	0.08	0.06	0.03	0.06	0.03	0.02	0.01	0.01	0.01
Salesches	59549	175	177	0.55	0.45	0.36	0.25	0.13	0.09	0.03	0.07	0.03	0.01	0.01	0.01	0.01	0.01
Salomé	59550	1750	1681	0.58	0.42	0.4	0.21	0.17	0.05	0.02	0.04	0.04	0.02	0.02	0.01	0.01	0.01
Saméon	59551	995	967	0.41	0.59	0.25	0.36	0.13	0.05	0.05	0.05	0.05	0.01	0.02	0.02	0	0
Sancourt	59552	118	112	0.67	0.33	0.43	0.19	0.1	0.08	0.05	0.04	0.03	0.03	0.03	0	0.02	0.01
Santes	59553	3675	3489	0.4	0.6	0.25	0.36	0.14	0.07	0.04	0.03	0.04	0.02	0.02	0.02	0.01	0.01
Sars-Poteries	59555	635	634	0.66	0.34	0.42	0.23	0.16	0.05	0.03	0.03	0.01	0.02	0.02	0	0.01	0.02
Sars-et-Rosières	59554	418	397	0.37	0.63	0.25	0.34	0.12	0.05	0.04	0.09	0.06	0.01	0.02	0.01	0	0
Sassegnies	59556	172	171	0.71	0.29	0.42	0.13	0.1	0.15	0.01	0.05	0.05	0.03	0.03	0.01	0.02	0
Saultain	59557	1301	1246	0.51	0.49	0.32	0.28	0.15	0.07	0.03	0.05	0.03	0.01	0.02	0.01	0.01	0.01
Saulzoir	59558	980	941	0.6	0.4	0.36	0.24	0.15	0.08	0.03	0.05	0.03	0.02	0.02	0.01	0	0.01
Sebourg	59559	1194	1151	0.44	0.56	0.23	0.32	0.11	0.12	0.06	0.03	0.05	0.03	0.03	0.01	0.01	0
Seclin	59560	6357	5999	0.47	0.53	0.29	0.26	0.22	0.05	0.03	0.05	0.05	0.02	0.01	0.01	0.01	0.01
Semousies	59563	148	146	0.62	0.38	0.4	0.3	0.11	0.07	0.05	0.01	0.01	0.02	0.01	0	0.01	0.01
Sepmeries	59565	394	385	0.49	0.51	0.32	0.29	0.12	0.06	0.05	0.04	0.03	0.04	0.02	0.01	0.01	0.01
Sequedin	59566	2320	2289	0.44	0.56	0.27	0.36	0.15	0.07	0.03	0.02	0.04	0.01	0.02	0.01	0.01	0.01
Sercus	59568	279	265	0.45	0.55	0.29	0.35	0.16	0.05	0.03	0.01	0.03	0.02	0.02	0.02	0.01	0
Sin-le-Noble	59569	7085	6626	0.6	0.4	0.38	0.19	0.25	0.05	0.02	0.04	0.02	0.01	0.02	0.01	0.01	0.01
Socx	59570	638	602	0.38	0.62	0.23	0.41	0.12	0.06	0.07	0.01	0.03	0.03	0.02	0.02	0	0
Solesmes	59571	2238	2191	0.69	0.31	0.46	0.18	0.15	0.06	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01
Solre-le-Château	59572	866	829	0.53	0.47	0.35	0.29	0.16	0.05	0.05	0.03	0.02	0.01	0.01	0.01	0	0.01
Solrinnes	59573	68	66	0.64	0.36	0.43	0.22	0.1	0.09	0.04	0	0.06	0.01	0.03	0.01	0	0
Somain	59574	5864	5484	0.65	0.35	0.41	0.16	0.21	0.05	0.01	0.08	0.02	0.02	0.01	0.01	0.01	0.01
Sommaing	59575	284	268	0.49	0.51	0.32	0.26	0.15	0.08	0.03	0.05	0.04	0.02	0.04	0	0	0
Spycker	59576	1134	1132	0.62	0.38	0.42	0.24	0.14	0.05	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01
Staple	59577	415	389	0.45	0.55	0.32	0.32	0.13	0.04	0.04	0.03	0.02	0.04	0.02	0.01	0.01	0.01
Steenbecque	59578	1029	990	0.5	0.5	0.31	0.3	0.17	0.04	0.02	0.02	0.03	0.02	0.04	0.02	0.01	0
Steene	59579	854	817	0.59	0.41	0.42	0.28	0.1	0.06	0.03	0.02	0.04	0.03	0.01	0.01	0.01	0.01
Steenvoorde	59580	2497	2415	0.48	0.52	0.3	0.31	0.13	0.05	0.06	0.02	0.04	0.04	0.03	0.02	0.01	0.01
Steenwerck	59581	2163	2089	0.45	0.55	0.27	0.3	0.17	0.07	0.03	0.02	0.06	0.02	0.02	0.01	0.01	0.01
Strazeele	59582	493	493	0.55	0.45	0.33	0.29	0.14	0.08	0.03	0.01	0.03	0.04	0.02	0.01	0.01	0
Sémeries	59562	334	320	0.61	0.39	0.37	0.25	0.12	0.06	0.02	0.05	0.03	0.04	0.03	0.01	0.01	0.01
Séranvillers-Forenville	59567	250	220	0.63	0.37	0.38	0.19	0.12	0.06	0.09	0.02	0.02	0.06	0.03	0.01	0	0.01
Taisnières-en-Thiérache	59583	269	274	0.64	0.36	0.45	0.16	0.11	0.09	0.03	0.02	0.02	0.06	0.01	0.01	0.01	0.02
Taisnières-sur-Hon	59584	417	409	0.52	0.48	0.35	0.29	0.12	0.11	0.03	0.02	0.03	0.02	0	0.01	0	0
Templemars	59585	2134	2001	0.4	0.6	0.25	0.31	0.2	0.06	0.03	0.03	0.06	0.01	0.02	0.02	0.01	0.01
Templeuve-en-Pévèle	59586	4125	3918	0.37	0.63	0.22	0.35	0.15	0.06	0.05	0.03	0.06	0.02	0.02	0.02	0.01	0
Terdeghem	59587	342	327	0.44	0.56	0.27	0.33	0.16	0.03	0.08	0.02	0.04	0.03	0.04	0	0	0.01
Thiant	59589	1477	1395	0.65	0.35	0.42	0.19	0.16	0.06	0.02	0.08	0.02	0.01	0.01	0.01	0.01	0.01
Thiennes	59590	507	493	0.59	0.41	0.38	0.2	0.17	0.08	0.03	0.04	0.03	0.03	0.02	0.02	0.01	0.01
Thivencelle	59591	427	422	0.74	0.26	0.52	0.16	0.13	0.05	0.05	0.04	0.01	0.02	0.02	0	0.01	0
Thumeries	59592	2433	2325	0.52	0.48	0.33	0.29	0.15	0.07	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0
Thun-Saint-Amand	59594	578	533	0.54	0.46	0.3	0.21	0.17	0.08	0.02	0.16	0.02	0.01	0.01	0	0	0.01
Thun-Saint-Martin	59595	327	326	0.54	0.46	0.38	0.29	0.09	0.09	0.02	0.03	0.02	0.01	0.03	0.01	0.02	0.01
Thun-l'Evêque	59593	455	424	0.57	0.43	0.38	0.28	0.13	0.05	0.03	0.04	0.02	0.02	0.03	0.01	0.01	0
Tilloy-lez-Cambrai	59597	450	444	0.46	0.54	0.28	0.36	0.11	0.09	0.06	0.03	0.02	0.02	0.03	0	0	0
Tilloy-lez-Marchiennes	59596	400	364	0.43	0.57	0.26	0.32	0.16	0.09	0.03	0.04	0.06	0.02	0.03	0.01	0	0
Toufflers	59598	2466	2345	0.43	0.57	0.27	0.32	0.18	0.06	0.04	0.02	0.04	0.03	0.02	0.01	0.01	0
Tourcoing	59599	38002	34305	0.41	0.59	0.23	0.23	0.36	0.05	0.02	0.02	0.03	0.01	0.01	0.01	0.01	0.01
Tourmignies	59600	565	564	0.36	0.64	0.22	0.36	0.13	0.07	0.05	0.01	0.07	0.02	0.04	0.02	0.01	0.01
Tressin	59602	844	832	0.28	0.72	0.16	0.4	0.14	0.05	0.05	0.05	0.08	0.02	0.03	0.01	0	0
Trith-Saint-Léger	59603	3274	3044	0.67	0.33	0.43	0.15	0.2	0.04	0.01	0.1	0.02	0.02	0.01	0.01	0	0.01
Troisvilles	59604	424	410	0.7	0.3	0.47	0.16	0.16	0.05	0.04	0.04	0.01	0.03	0.01	0.02	0	0
Trélon	59601	1215	1204	0.66	0.34	0.48	0.23	0.12	0.06	0.02	0.02	0.01	0.02	0.01	0.02	0	0
Téteghem-Coudekerque-Village	59588	5354	5215	0.44	0.56	0.29	0.34	0.13	0.07	0.05	0.02	0.03	0.02	0.02	0.02	0.01	0.01
Uxem	59605	870	858	0.5	0.5	0.31	0.32	0.15	0.05	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0.01
Valenciennes	59606	17363	16223	0.42	0.58	0.25	0.29	0.22	0.07	0.04	0.04	0.04	0.02	0.01	0.01	0.01	0
Vendegies-au-Bois	59607	293	283	0.57	0.43	0.35	0.25	0.14	0.1	0.03	0.04	0.04	0.02	0.02	0.01	0.01	0
Vendegies-sur-Ecaillon	59608	680	625	0.53	0.47	0.32	0.27	0.17	0.06	0.05	0.03	0.02	0.03	0.02	0.02	0.01	0
Vendeville	59609	1055	1024	0.37	0.63	0.23	0.37	0.16	0.07	0.05	0.02	0.05	0.01	0.01	0.02	0.01	0
Verchain-Maugré	59610	631	595	0.58	0.42	0.42	0.22	0.1	0.07	0.03	0.06	0.03	0.02	0.02	0.01	0.01	0
Verlinghem	59611	1651	1597	0.26	0.74	0.16	0.44	0.12	0.07	0.08	0.02	0.05	0.03	0.02	0.01	0.01	0
Vertain	59612	349	323	0.54	0.46	0.32	0.23	0.15	0.08	0.07	0.05	0.03	0.03	0.01	0.01	0	0.01
Vicq	59613	695	644	0.65	0.35	0.43	0.17	0.19	0.04	0.02	0.08	0.01	0.02	0.01	0.01	0	0.01
Viesly	59614	781	745	0.71	0.29	0.48	0.16	0.15	0.06	0.05	0.04	0.01	0.01	0.01	0.01	0.01	0.01
